Date,Open,High,Low,Close,Adj Close,Volume
2007-12-21,27192.80078125,27670.310546875,27192.80078125,27626.919921875,27626.919921875,1608493800
2007-12-24,27965.25,28191.259765625,27954.279296875,28128.80078125,28128.80078125,1238054500
2007-12-27,28337.470703125,28343.390625,27842.9296875,27842.9296875,27842.9296875,1551931300
2007-12-28,27511.5390625,27678.400390625,27296.859375,27370.599609375,27370.599609375,1772085800
2007-12-31,27437.939453125,27820.140625,27437.939453125,27812.650390625,27812.650390625,853767000
2008-01-02,27632.19921875,27853.599609375,27299.44921875,27560.51953125,27560.51953125,1232142900
2008-01-03,27050.029296875,27223.7109375,26864.130859375,26887.279296875,26887.279296875,2442743800
2008-01-04,27004.33984375,27596.859375,26994.849609375,27519.689453125,27519.689453125,2375522200
2008-01-07,26962.5390625,27186.0703125,26698.5390625,27179.490234375,27179.490234375,2452932000
2008-01-08,27466.9609375,27637.599609375,27088.69921875,27112.900390625,27112.900390625,2492360800
2008-01-09,26847.490234375,27625.830078125,26757.029296875,27615.849609375,27615.849609375,2714685000
2008-01-10,27426.419921875,27596.5,27115.8203125,27230.859375,27230.859375,2704613800
2008-01-11,27435.509765625,27593.69921875,26725.94921875,26867.009765625,26867.009765625,2950312400
2008-01-14,27019.130859375,27142.880859375,26464.640625,26468.130859375,26468.130859375,2050190000
2008-01-15,26728.9296875,26800.51953125,25823.5,25837.779296875,25837.779296875,2333391400
2008-01-16,25131.109375,25131.109375,24320.029296875,24450.849609375,24450.849609375,4294639600
2008-01-17,24705.080078125,25381.91015625,23957.609375,25114.98046875,25114.98046875,3535112800
2008-01-18,24247.169921875,25378.240234375,24134.25,25201.869140625,25201.869140625,3155112600
2008-01-21,24459.01953125,24650.279296875,23770.130859375,23818.859375,23818.859375,3252136000
2008-01-22,22624.2890625,22713.689453125,21709.630859375,21757.630859375,21757.630859375,5979656000
2008-01-23,23359.19921875,24239.98046875,22647.279296875,24090.169921875,24090.169921875,5350497200
2008-01-24,24396.849609375,24966.169921875,23478.869140625,23539.26953125,23539.26953125,4254018800
2008-01-25,24801.4609375,25243.580078125,24483.9296875,25122.369140625,25122.369140625,3929030800
2008-01-28,24342.390625,24384.26953125,23586.51953125,24053.609375,24053.609375,3088035600
2008-01-29,24640.099609375,24736.80078125,24229.140625,24291.80078125,24291.80078125,1953154800
2008-01-30,24605.150390625,24631.58984375,23586.369140625,23653.689453125,23653.689453125,2550839400
2008-01-31,23789.720703125,23887.169921875,23052.94921875,23455.740234375,23455.740234375,2460015000
2008-02-01,23791.919921875,24238.30078125,23322.05078125,24123.580078125,24123.580078125,3429329600
2008-02-04,24885.0703125,25101.41015625,24728.5,25032.080078125,25032.080078125,3259179200
2008-02-05,24710.099609375,24961.98046875,24504.529296875,24808.69921875,24808.69921875,1704108800
2008-02-06,23458.150390625,23592.310546875,23283.970703125,23469.4609375,23469.4609375,2714642800
2008-02-11,23404.740234375,23404.740234375,22569.529296875,22616.109375,22616.109375,2369935800
2008-02-12,22953.779296875,23146.439453125,22891.220703125,22921.669921875,22921.669921875,1584831400
2008-02-13,23330.08984375,23534.490234375,22938.05078125,23169.55078125,23169.55078125,2066015600
2008-02-14,23893.509765625,24140.2890625,23756.44921875,24021.6796875,24021.6796875,2799158800
2008-02-15,23511.470703125,24208.509765625,23446.369140625,24148.4296875,24148.4296875,1920019600
2008-02-18,24344.26953125,24413.890625,23735.869140625,23759.25,23759.25,1666302100
2008-02-19,24040.66015625,24402.640625,24025.05078125,24123.169921875,24123.169921875,2524465200
2008-02-20,24265.3203125,24265.3203125,23481.060546875,23590.580078125,23590.580078125,2652384600
2008-02-21,23957.640625,24003.599609375,23500.94921875,23623.0,23623.0,1680737200
2008-02-22,23233.900390625,23420.349609375,23077.509765625,23305.0390625,23305.0390625,1760169200
2008-02-25,23546.099609375,23552.990234375,23164.970703125,23269.140625,23269.140625,1323817100
2008-02-26,23564.76953125,23762.400390625,23395.259765625,23714.75,23714.75,1621023300
2008-02-27,24161.189453125,24610.41015625,24111.599609375,24483.83984375,24483.83984375,3009478800
2008-02-28,24373.900390625,24841.23046875,24205.009765625,24591.689453125,24591.689453125,2194424400
2008-02-29,24226.830078125,24370.689453125,24010.48046875,24331.669921875,24331.669921875,1997874800
2008-03-03,23491.5703125,23738.669921875,23458.94921875,23584.970703125,23584.970703125,2409038800
2008-03-04,23858.0390625,23923.19921875,23060.900390625,23119.869140625,23119.869140625,2208747800
2008-03-05,23066.640625,23268.44921875,22873.310546875,23114.33984375,23114.33984375,1977023400
2008-03-06,23360.6796875,23615.1796875,23254.310546875,23342.73046875,23342.73046875,1691913400
2008-03-07,22694.23046875,22836.759765625,22447.83984375,22501.330078125,22501.330078125,2764171600
2008-03-10,22387.25,22725.2109375,22034.759765625,22705.05078125,22705.05078125,2510419600
2008-03-11,22634.7109375,22995.349609375,22263.359375,22995.349609375,22995.349609375,2261189000
2008-03-12,23737.650390625,23737.650390625,23139.400390625,23422.759765625,23422.759765625,2637049600
2008-03-13,22925.419921875,23007.609375,22251.240234375,22301.640625,22301.640625,2546540800
2008-03-14,22536.119140625,22747.140625,22151.509765625,22237.109375,22237.109375,2340163800
2008-03-17,21318.029296875,21473.400390625,21041.259765625,21084.609375,21084.609375,3369502000
2008-03-18,21444.609375,21467.1796875,20572.919921875,21384.609375,21384.609375,3676795200
2008-03-19,22191.880859375,22191.880859375,21779.83984375,21866.939453125,21866.939453125,2951784000
2008-03-20,21173.30078125,21471.669921875,20896.140625,21108.220703125,21108.220703125,2784758800
